"","x"
"35","THAT please. Stunning dress. Would love the chance to take it on my holiday to Spain in June."
"36","THIS tropical dress! Love the colours and would make a change from my nude and navy staples! #WINIT"
"37","THIS please <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> . I even have the shoes to match.

If only I had somewhere to go <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"38","Both lovely but prefer the Dandelion for the length. I would be thrilled to win it!"
"39","THIS <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BE><ed><U+00B4><U+009E>
So beautiful. The perfect summer dress and I love the colour. 
Fingers crossed xxxx"
"40","Love them both but I'm going to pick THIS 'tropical dress' as I seem to have a habit of picking black dresses all the time <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>"
"41","THIS tropical dress <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> love the pattern. Perfect for my holiday in 4 weeks xx"
"42","That would go with lots of different colours especially pinks, greens and reds xx"
"43","The short green one! Perfect for summer! <ed><U+00A0><U+00BC><ed><U+00BD><U+0083><U+2618><ed><U+00A0><U+00BC><ed><U+00BD><U+0083>I would be happy to walk in Stockholm with that dress! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> #WINIT"
"44","THIS is an amazing dress and I think it would go great with my newly married title of Mrs Parker :) x"
"45","THIS is gorgeous
Perfect for my holidays
Love liked shared thank you x"
"46","THAT dandelion dress. I prefer longer dresses, and I love dandelions."
"47","I love THIS dress as its perfect and floaty for the summer!"
"48","THAT dandelion dress is gorgeous!! Amazing giveaway! Liked and shared. Good luck everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><U+263A><U+FE0F>"
"49","THAT dandelion dress is lovely my girls are loving blowing all the dandelions out at the moment <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
"50","This ... I'm not too good in longer dresses lol"
"51","THAT dandelion dress please. Perfect print and perfect length! xx"
"52","Both are fabulous I think I would go for the Topical Dress. Liked and shared <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+008B>"
"53","..( Entered Liking and Sharing.Good Luck Everyone. Thank You for the Chance! )...This"
"54","That <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>pretty please lovely for drinks n food alfresco x"
"55","THIS.  Fantastic thank you for this chance Good luck everyone x"
"56","THAT please! Such a beautiful print and a fab cut for my curves x"
"57","They are both lovely but my favourite has to be 'THIS tropical dress' :)"
"58","This! I love the pattern & colour & this would be so versatile this summer."
"59","""THAT"" beautiful Dandelion  Dress, would look amazing for a future wedding I'm going to <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"60","That dandelion dress is gorgeous, love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E>"
"61","Would have to be both! But if I had to choose it would be the tropical dress"
"62","That dandelion dress would be perfect for my friend's wedding. Xx"
"63","that - would be perfect for the wedding in a couple of weeksc"
"64","This tropical dress. Lovely silhouette, beautiful colours. Would be a lovely end of Birthday treat for me!"
"65","This tropical dress would look great on me with a pina colada in hand! X"
"66","That for me. Love This too, but not so good for us women over 40!"
"67","Dandelions for me!! THAT gorgeous midi frock would suit me being tall! X"
"68","That<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> not quite brave enough to get my pins out just yet!"
"69","THIS definitely, too much of shortie to get away with the other."
"70","I love THIS! What a lovely little tropical dress this is, would be perfect for my honeymoon x"
"71","Oooh tough but it would have to be THIS tropical dress!"
"72","This please! Be fantastic for these sunny days it's a fab dress <ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"73","THAT is fabulous....I'd love to win. Fingers crossed!"
"74","THIS Tropical Dress is my favourite. Lovely rainforest colours xx"
"75","THAT love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> perfect summer dress to dress up or casual xx"
"76","THIS please, for my summer holiday as it's got a lovely summery vibe #winit #Oasis"
"77","This! Lol love the colours which would be great for a red head!"
"78","'THIS' please! Would be fab for those warm Summer day's!"
"79","THIS would be perfect for my trip to Valencia. Fingers crossed x"
"80","My wife is petite so  thin she would go for THIS. Both are lovely. Thanks"
"81","THIS tropical dress. I am only 5 foot 2 so the other ones too long."
"82","THIS gorgeous dress would be lovely for my honeymoon! Thanks #WINIT"
"83","I love THIS tropical dress! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> I love the style, perfect for summer <ed><U+00A0><U+00BC><ed><U+00BC><U+009E> and green is my favourite colour too!"
"84","this would look great on my wife .. Liked & Shared great prize would love to win ty for the chance"
"85","At 48 & 4ft 11in I'm afraid I don't have the legs for 'this' but I'd definitely settle for 'that'"
"86","This, light tan, summers night, cocktail in hand-perfect!!"
"87","That with bolero to cover arms since being in wheelchair i have arm muscles a weigt lifter would be proud of"
"88","That! So gorgeous! Great for visiting Kew Gardens,having a picnic or have lunch in the city with friends x"
"89","THIS tropical dress. The length on the other one would make me look too ""mumsy!"""
"90","This tropical dress <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> More of a reason to book a holiday if I win this <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>"
"91","THAT dandelion dress!!! Got a christening coming up...that would be perfect!! <U+2764><U+FE0F>OASIS!! Xxx"
"92","THAT dandelion dress perfect for summer"
"93","THIS is lovely. My favourite colour. Would be perfect for a wedding I'm going to in July x"
"94","I love THAT dandelion dress - perfect for a summer's evening xx"
"95","That gorgeous dress perfect treat for me for summer days liked and shared"
"96","THAT Dandelion Dress pretty please <3 What a fantastic Competition!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Thank you for the amazing opportunity to win this fab prize <ed><U+00A0><U+00BD><ed><U+00B8><U+0099> Liked, Commented, Tagged and Shared <U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+0096> Fingers Tightly Crossed :* Phyllis Whelan"
"97","I like them both but I'd have to say that the tropical dress wins by a fraction as I like to show off my legs! <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"98","Love <U+2764><U+FE0F> the tropical dress! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> we all need something to bring sunshine in our wardrobes!"
"99","This - perfect for my holiday next month! Gorgeous <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>X"
"100","This tropical dress is perfect for my girls weekend away"
"101","Ohhh yes! THIS tropical dress exactly what I love to wear."
"102","THIS tropical dress would be amazing for my holiday <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #WINIT"
"103","Both are nice but I'm choosing THIS tropical dress! Thanks"
"104","defo THIS tropical dress....love green and sort dresses xx would love to #win xx"
"105","I prefer THIS tropical dress would great for summer! #THIS #WINIT xx"
"106","That. the lack and white on, think I am a bit too old for the shorter one"
"107","This! Both are beautiful, but the tropical dress would be great for warm summer days! :)"
"108","That dandelion <ed><U+00A0><U+00BC><ed><U+00BC><U+00BC> dress is beautiful.  Perfect for an up and coming wedding <ed><U+00A0><U+00BD><ed><U+00B2><U+0092> for during the summer <U+2600>"
"109","Both are beautiful dresses but I love the tropical dress,  it is lovely for summer holidays xx"
"110","That, please! Love the print and length."
"111","Wow fantastic giveaway love that dandelion dress stunning liked and shared"
"112","THAT Dandelion dress for my wife would be great please."
"113","Definitely THAT! Love the length and pattern, 100% my style."
"114","I'd love to win THIS tropical dress. Thanks for the chance! Michaella & Ramona, make sure you enter!"
"115","Love THIS tropical dress, so pretty , ready for the summer. xx"
"116","I would pick this tropical dress. Too short for the other one! <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>"
"117","I really like the THAT dandelion dress it would really suity me but they are both special."
"118","Love THAT dandelion dress...really elegant length for special occasions!"
"119","THIS! Could be worn day or night! I would love to #winit"
"120","I <3 both but at a push would probably chose THIS #WINIT"
"121","Oh THIS please perfect for my first holiday with my new baby good airport outfit <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>x"
"122","Love the dandelion dress, retro, amazing cut and would look awesome at my friends wedding. X"
"123","Love THAT beautiful length and perfect for these sunshine days"
"124","That Dandelion dress! Love a longer dress for weddings."
"125","THIS would be perfect for my tropical carribean holiday!"
"126","This! I'm in dire need of new dresses, especially for the summer, and it's also my favourite shade of green! <ed><U+00A0><U+00BD><ed><U+00B1><U+0097>"
"127","Oooo definitely this! Would like that though tooo.......!!!"
"128","This tropical dress! Would be fantastic for a summer bbq!"
"129","This tropical dress would be lovely in summer & for when I go bbqs at my inlaws"
"130","THAT  -  I like the longer length for myself now my legs are past their best"
"131","Ooh yes please. I have my fingers crossed tightly in anticipation of winning your fabUlous prize====This please"
"132","This tropical dress is so cute & perfect for work in summer! Light denim jacket over the top :D"
"133","Like THIS but would probably look better in THAT, so will pick THAT."
"134","THIS tropical dress - would be lovely for summer days and summer nights!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0080><U+2600><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BC><ed><U+00BF><U+0096>"
"135","I think THIS tropical dress is beautiful! Would love a chance to #WINIT thank you :D"
"136","THAT is gorgeous! <U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> love a long dress! Beautiful! #WINIT"
"137","It's got to be THIS , more summery and perfect for the beach or to dress up for a warm summer's evening"
"138","Love both. THIS  like more though. Perfect for a special occasion. Thank you for the chance to win.<ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"139","This. Wow absolutely gorgeous loving the colour. Would love to win. Liked and shared Natalie Osborne Thomason"
"140","This please liked shared lovely giveaway Evelyn Sarah Dalton <ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B8><U+0083>"
"141","This! Definitely one for my imaginary holiday Harriet Amelia"
"142","That for me - they are both lovely-you'd agree Karen Laing"
"143","That is just my style, love the print.Liked and shared."
"144","THAT dandelion dress as it's completely different from anything else in my wardrobe, and I love finding new things :)"
"145","I would love to with the tropical dress pretty please <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"146","THIS....it's beautiful and love the colour."
"147","THIS Tropical dress looks so comfortable and stylish!!"
"148","Oh my <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> THIS is definitely my favourite piece so far!! Absolutely gorgeous!"
"149","THIS tropical dress is absolutely gorgeous - just need the tropical sunshine and a fruity cocktail to go with it!"
"150","THAT!! The dress is gorgeous would love to win for my birthday outing to the races<ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"151","THAT would be a lovely addition to my wardrobe and very versatile."
"152","Love This :)  Liked & Shared for your brilliant Giveaway. Thankyou so Much For The chance"
"153","Loving THAT dandelion dress. Its the perfect length for me and looks flattering :-)"
"154","Shirley Ajuebon
Yes please 
<ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>
Liked and shared
<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Win win win win
<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><U+2B50><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><U+2B50><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><U+2B50><U+FE0F>
Fingers crossed 
<ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"155","This love it beautiful happily liked shared thanks for the chance xx"
"156","Love THAT Perfect for wedding and Christening this Year Liked and Shared Alison Burns Nicola Jane Phipps Stephanie Keill Rebecca Roberts <3 <3 X"
"157","This tropical dress, I would love to win this amazing prize, liked and shared x"
"158","I like THAT dandelion dress best.  You do have some gorgeous dresses available at the moment.   Liked and shared, thanks."
"159","THAT!"
"160","That. Does anyone ever win these?"
"161","THAT!!"
"162","THIS!"
"163","This tropical dress would be perfect for the summer #WINIT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"164","This pls"
"165","THIS would be perfect for my honeymoon in June <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"166","THAT
Lovely liked & shared <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>"
"167","THAT x"
"168","THAT so lovely!"
"169","I would love this short dress #WIN IT"
"170","so in love with THIS DRESS!!!!! totally my style!"
"171","That vind ik prachtig"
"172","THIS is fab, happily liked and shared <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"173","Omg this is beautiful! I love green :)"
"174","Dandelion dress <ed><U+00A0><U+00BD><ed><U+00B1><U+0097> <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"175","This!
I love it. :)"
"176","THAT please its stunning <3"
"177","THAT please"
"178","That- Love the Dandelion dress 
Liked & shared"
"179","I <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> THIS! Thank you for the chance"
"180","THAT :D :D"
"181","THAT..........please <U+2764><U+FE0F>"
"182","THAT is totally me !"
"183","THIS ? My mum loves it"
"184","Love that dandelion one"
"185","That dress.. It's stunning"
"186","THIS would be perfect for my summer holiday. <ed><U+00A0><U+00BC><ed><U+00BC><U+009E>"
"187","That dandelion dress! Xxx"
"188","THAT <U+2764><U+FE0F>"
"189","THAT would be very lovely come summer parties <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"190","That please"
"191","I prefer THIS"
"192","THAT XXX"
"193","THIS tropical dress <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4>"
"194","THAT! I love it!!"
"195","That dandelion dress though the tropical is gorgeous too"
"196","Deffo this....perfect for my summer hols xxx"
"197","THIS please size 8. for my lovely daughter."
"198","Tropical dress please (love the other one too)"
"199","This tropical dress :)"
"200","This."
"201","THIS tropical dress x"
"202","That! Lovely print and perfect length"
"203","THAT <3 <3"
"204","THIS tropical dress is so pretty, love THIS!!! #WINIT"
"205","THIS please shared x"
"206","That , would work for so many occSsions x x"
"207","THIS dandelion dress is perfect for the summer"
"208","THIS! #winit"
"209","THAT."
"210","Tropical please x good luck everyone!"
"211","This tropical dress"
"212","That dandelion dress"
"213","This is lovely xx"
"214","THIS<ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"215","THIS! <U+2764><U+FE0F><U+2764><U+FE0F> love it!!"
"216","This!"
"217","THAT - love it!"
"218","THAT please"
"219","THAT - stunning  :-)"
"220","I love That! x"
"221","This please!"
"222","This <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"223","THIS tropical dress <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"224","this is gorgeous :) fingers crossed x"
"225","This!"
"226","Would love this"
"227","This"
"228","This! Love that dress! Would be perfect for summer <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"229","Tropical for me, please xxxx"
"230","THIS <3"
"231","That! But wouldn't say no to this either! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"232","Liked shared and love <ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B2><U+0097> meeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee plzzzzzzzZ"
"233","This please"
"234","THIS tropical dress, absolutely beautiful! <ed><U+00A0><U+00BD><ed><U+00B1><U+0097> <ed><U+00A0><U+00BC><ed><U+00BC><U+00B4><ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"235","Love them both but I'd probably wear THAT more!"
"236","Oh this this this Liked and shared <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"237","THIS!!! Love THIS!"
"238","Love That"
"239","That Dandelion Dress for me please x
#WinWithOasis #WINIT"
"240","THAT the dandelion dress, fingers crossed, liked and shared"
"241","Love THAT dress"
"242","Just love THIS tropical dress :) x"
"243","THIS! Pretty please win win win! Vx"
"244","Definitely THIS tropical dress"
"245","This <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"246","THAT dandelion dress is absolutely gorgeous! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"247","THIS tropical dress <ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"248","THAT dress would be lovely xxx"
"249","THAT <3"
"250","This is fantastic <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>"
"251","That please xx"
"252","THAT dandelion dress please :)"
"253","This :*"
"254","THAT dandelion dress!"
"255","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"256","THAT dandelion dress."
"257","Omg I LOVE THAT dandelion dress, it's so pretty! <U+2764><U+FE0F>"
"258","THAT dandelion dress"
"259","yes please very nice! love this"
"260","THIS tropical dress please. Love it."
"261","I love THIS, cool, comfortable and flattering <U+2764><U+FE0F>"
"262","Tropical dress <ed><U+00A0><U+00BD><ed><U+00B1><U+0097><ed><U+00A0><U+00BC><ed><U+00BC><U+00B4> for me"
"263","THIS tropical dress! Perfect for a Summer wedding"
"264","THIS is gorgeous <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"265","THAT please"
"266","Definitely this <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"267","Love THIS tropical dress! Liked & shared! Fingers crossed! xxxxx"
"268","THAT - would be a lovely frock to own x"
"269","I love THAT dress! So pretty xx"
"270","I love THIS!"
"271","this please"
"272","THIS is lovely"
"273","Oh my, THAT dress!"
"274","This love the colour x"
"275","This! Perfect for summer"
