"","x"
"12","WIN THAT popping out tote...!! 
<ed><U+00A0><U+00BD><ed><U+00B2><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+009E> Definitely a statement piece - Totally Gorgeous would Love to win, Extra large which is perfect for Laptop, iPad and all my beauty bits & bobs <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"13","Love that tote! I'm going for a new job at the mo and this would fit all my paperwork in aswell as being smart and professional. #THAT #love #winit"
"14","THAT please! If carry a bag around in needs to fit my babies essentials in too! It would be great to carry something other that a boring black nappy bag! X"
"15","THAT just the right size for popping out with my 16month old to hold my purse & keys while having her nappies and wipes and not lugging a huge bag! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"16","That as it looks stunning and can hold everything I need which hubby says is useless yet asks to put all his things in my handbag when we go out lol"
"17","I'd like to say THIS but when you have kids there's not so much use for a going out clutch, so I would definitely say THAT to a cute day bag <U+263A>"
"18","THAT popping out tote bag is lovely!  Having used a baby changing bag as a 'handbag' for the last 4 years it would be a lovely treat to win! <U+2764><U+FE0F>"
"19","THAT please! Looks good and practical! Can stash all my bits and pieces plus the odd 'monster truck' or pack of biscuits!!! ;)"
"20","Loving THAT popping out tote. As a busy working mum, I'm always on the move and need a big bag for all those essential items for me and my son"
"21","THAT - would be perfect for when my baby is born in approx 4 weeks , could fit loads in it whilst still looking stylish! <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+009C>"
"22","Both are beautiful but I think I would have to choose THAT as I would get the chance to show it off far more often! #winit #oasis #lovetheshoestoo"
"23","That!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> so pretty and looks a lot better than my bag that i take with me wherever i go (read: a very old bag that needs to be replaced) <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #teacher #bag"
"24","THAT, with a new baby it looks like my going out days are over! Plenty of room in the tote bag for all my baby essentials though!"
"25","THAT tote <ed><U+00A0><U+00BD><ed><U+00B1><U+009C> <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>How fabulous! <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>
Count me in! Great prize<U+2764><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
I've liked and shared...would love to win <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
Thanks for the chance guys <U+2B50><U+FE0F>"
"26","THAT popping out tote how else would be able to carry around my whole life on my shoulders in such a stylish way #WIN"
"27","THAT I'm starting a new job next week and this would look gorgeous on my arm as I walk in for my first day <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+009C>. Arm candy <ed><U+00A0><U+00BC><ed><U+00BD><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"28","That!!!! <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+009C> please <ed><U+00A0><U+00BC><ed><U+00BC><U+009F>very nice<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> love this <ed><U+00A0><U+00BC><ed><U+00BC><U+009F>what a fantastic Lovely prize  <ed><U+00A0><U+00BC><ed><U+00BE><U+0081> giveaway <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> would love to win <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>hoping im lucky enough <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080> fingers crossed <U+2B50> thank you for the opportunity <U+2B50> loved liked shared<ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8>"
"29","That popping out Tote is a beauty..... been looking for the perfect bag for a little while now... would love to win so we can be together for valentines <U+2764><U+2764><U+2764> #THAT for me"
"30","#That oh my god this bag is amazing! I've been dying for a soft grey one! I love a clutch but I never go out. This is perfect for throwing everything in! Oasis always delivers <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"31","Love that the popping out tote never enough room in bag this would solve all the problems so smart as well fingers crossed liked and shared"
"32","This please I love the design colour and style perfect date night bag always wanted a nice clutch bag have liked and shared .x"
"33","THAT popping out tote is gorgeous! I never treat myself anymore, what a treat this bag would be! #WIN"
"34","THAT  Oh yes please very nice love this wot a fantastic Lovely prize giveaway would love to win hoping im lucky enough fingers crossed toes crossed as well thank you for the opportunity loved liked shared Deborah Parsons"
"35","CLUTCH!! <3 got a wedding to go to in july and i need a clutch <3 #WINIT"
"36","THAT!! 
Gorgeous colour and perfect to carry around all the things I don't really need <ed><U+00A0><U+00BD><ed><U+00B8><U+009C>
Liked and shared <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"37","THAT popping out tote Would go perfect with everything and can't remember the last time I had a New Bag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"38","This is spectacular love it for going out please <3 esp for Valentine's <3"
"39","THAT <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> Please <U+2618><U+2618> Wonderful giveaway thankyou very much for the chance to win xx Naomi Coates <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"40","THAT 

Wow! This would be such a wonderful treat <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> Would love to be your lucky winner <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> Thank you xx"
"41","I love THAT popping out tote please, juggling work & family life means I pop out a lot! Thanks for the chance to WIN it <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"42","THAT is lush and nice and roomy too! I carry so much stuff in my bag, it would be perfect! #WINIT"
"43","That because I can stick a nappy and wipes in it and still stay yummy mummy xx"
"44","Oooooh THAT is gorgeous (and big enough to put a nappy and baby wipes in) <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> xxx"
"45","THAT PLEASE. Gorgeous and perfect for the office xx"
"46","That please Wow. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>. This would be amazing. Liking and happily sharing with my fingers crossed"
"47","That popping out tote would be perfect for all my stuff to go in beautiful tote thank for the chance"
"48","This please. Love the colour and design. Just what I need"
"49","THIS going out clutch. It would go with so much! #WINIT"
"50","ooh I'm looking for a gorgeous clutch - think I may just have found it THIS x"
"51","THIS would be perfect for going out and special occasions x"
"52","That please as a mum of 3 I need a big bag for the essentials #loveit"
"53","That is gorgeous and would fit all my stuff in"
"54","THAT popping out tote <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
 Amazing giveaway! Liked and shared. Good luck everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><U+263A><U+FE0F>"
"55","That! My everyday tote has just given up on me and ripped so I'm in need of a new one <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"56","That! It would fit all the mum-crap I have to carry..... you know pants!!! (For my child not me<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>) Hahaha"
"57","That!! I carry so much rubbish around with me it needs to be a big one!! <U+2764><U+2764>"
"58","That 
Perfect for my new job in the city!! I would show it off x"
"59","THAT is gorgeous, and a lovely size to fit all my things into!"
"60","THAT   I like to have a bag that is big enough to carry everything in"
"61","THAT for me please - mummy of two boys, need space for cars and wipes <U+2764> 

Love THAT's shoes too btw <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764>"
"62","THAT please. I love the colour and the size. Thanks so much for the chance. Wonderful giveaway :)"
"63","Defubutekt THAT.  If it doesn;t have a strap I put it down and lose it."
"64","THAT popping out tote  - stylish and would definitely hold everything!"
"65","I love THAT!! 
I need a big bag with my two little ones!! And it's so lovely!"
"66","I would love THAT popping out tote. Could do with a nice bag for work!"
"67","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> my bag is falling apart... Mainly because I put so much in it but would love to win a new one!"
"68","That big enough to fit the kids junk in but a change from the nappy bag!"
"69","THAT popping out tote as I need a large bag with everything i carry around!!"
"70","THAT tote bag is awesome and would go so well with my work and weekend wardrobe <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"71","This gorgeous clutch as I don't have a pretty going out bag."
"72","THAT tote, I have clutches aplenty."
"73","Oooooo it has to be THAT!! 
My fave tote bag broke yesterday so this is fate saying I should win <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> x"
"74","This please!!! #WINIT just what I need to go with my  outfit x"
"75","THAT one would be perfect<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> I already fell in love with it <U+2764> #WINIT"
"76","That! In need of a new bag as mine has decided to break <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>"
"77","That please! It's one of my favourite bags. Love how it's a classic bag, but so trendy!"
"78","THIS...
for those rare occasions that I go out xx"
"79","Love THAT amazing giveaway loving the colour and style of th bag,love liked and shared with friends :) :) :)"
"80","That please the colour and style is perfect for me."
"81","That xx started a new job and badly need a new handbag xx liked & shared <U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"82","Love both but I'm in need of a new handbag so THAT"
"83","That tote bag would be fab to pop my multitude of bits in!"
"84","THAT tote. Would be a far prettier mummy bag than my bright red backpack <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> #WINIT"
"85","oh both are lovely, but i think #that would be more practical for day to day <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"86","That Tote all the way! I'm definitely a carry the kitchen sink round with me kinda girl!"
"87","THAT - a seriously chic bag that works for every occasion. You could carry all your essentials in that bag"
"88","THAT popping out tote would be perfect for hiding all the baby and toddler stuff I lug around! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"89","THIS-In need of a good clutch bag for going out with in the evenings--#WINIT <ed><U+00A0><U+00BD><ed><U+00B1><U+009C>"
"90","Has to be THAT great tote bag that will carry everything xxx"
"91","That tote <ed><U+00A0><U+00BD><ed><U+00B1><U+009C> <ed><U+00A0><U+00BD><ed><U+00B1><U+009C> for the mum on the go<U+2763><U+FE0F> can hold everything for toddler & mum <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><U+2B50><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><U+2B50><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BC><U+009F>"
"92","THAT pleeeease. Been on the hunt for a bag like that (haha, no irony there!) for a long long time. <3"
"93","THIS love a sparkly clutch and the colour will go with different outfits! xx"
"94","I would love the tote for all my baby related items but disguised in a lush smart bag <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #win"
"95","THAT. I have some outfits that would go lovely with THAT fab bag <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+009B><ed><U+00A0><U+00BD><ed><U+00B1><U+009D>"
"96","That please! I desperately need a new bag for work <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"97","THIS!! Love the treat of leaving the house without all the kids stuff in a massive bag <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"98","Ooh hard to choose, i love both so i dont mind, either would be nice <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"99","That please! It's a great colour. Lots of room for: <ed><U+00A0><U+00BD><ed><U+00B2><U+0084><ed><U+00A0><U+00BD><ed><U+00B2><U+00B2><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00BB><ed><U+00A0><U+00BC><ed><U+00BE><U+00A0><ed><U+00A0><U+00BC><ed><U+00BD><U+00AC><ed><U+00A0><U+00BD><ed><U+00B4><U+00A7><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"100","THAT....would be a perfect work bag for my files and laptop x"
"101","That tote! I've already got a tote from Oasis that I use for work everyday, love it! #winit"
"102","Either either!! But THAT tote is my favourite.. so handy <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+009C>"
"103","That as I would get everything in so is perfect for me"
"104","THAT popping out tote is perfect! Can throw all my uni stuff in and still have room for more! Would love to #WINIT"
"105","THAT!  It would help with my dreaded return back to work after maternity leave <ed><U+00A0><U+00BD><ed><U+00B9><U+0088><ed><U+00A0><U+00BD><ed><U+00B1><U+009C>"
"106","I LOVE that! Grey being my favourite colour and the fact that I love a tote, #that is perfect! #WINIT"
"107","THAT tote bag is <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> very smart for all the essentials xx"
"108","THAT. Love the oasis totes. Go with pretty much everything"
"109","That please would be perfect you can never have enough bags <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #WINIT"
"110","THAT!! Love the bag. So lush!! So practical!! Thank you for the chance. Fingers crossed xx"
"111","The tote, would be perfect for work love it x"
"112","That!it's large enough to be my baby bag so I can look  stylish <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"113","THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> as a mammy of 3 this is perf <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>for all the things they ""absolutely need"" to bring <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>"
"114","THAT, I struggle to fit the kitchen sink in small bags <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>. #WIN. The shoes look good too"
"115","Oh that please would look great in Barcelona this weekend"
"116","#WINIT THAT Popping Out Tote is amazing! #yesplease 
<ed><U+00A0><U+00BD><ed><U+00B9><U+008B><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B1><U+009B> <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0081>"
"117","THAT tote! <ed><U+00A0><U+00BD><ed><U+00B1><U+009C> Just had a baby boy and it would make a lovely change bag. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"118","That popping out tote would be perfect to fit all my new baby daughters bits in whilst still being fashionable for me"
"119","Both so nice! But I need THAT popping out tote bag in my life <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #THAT #winit xx"
"120","Lovely tote, beautiful colour and would fit a good book and snack!"
"121","THAT popping out tote! Looks huge! Will definitely fit all my stuff in! #WINIT"
"122","That........would be great for my upcoming break , would hold everything <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"123","THIS would be great for a wedding I'm going to soon."
"124","So hard want them both think I'll go with THAT would be great for work #winit #Oasis"
"125","Love both but THAT tote would be fab for me, especially when out with the kids. Xx"
"126","That popping out tote- so all those unexpected purchases! #WinIT"
"127","That. I have so many things I could put in a lovely bag like that"
"128","THAT tote is very classy. It's a lovely colour that would go with anything!"
"129","Definitely 'THAT' it's the ultimate arm candy!  #WINIT <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"130","THAT!!definitely, gorgeous and every day practical :) loves the colour too <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"131","THAT grey tote bag is cute. WIN. Perfect for a day shopping. X"
"132","THIS clutch would look amazing for my friends wedding in April!!"
"133","#this the clutch is elegant and the perfect size for going out. would be a great addition to any outfit for going out."
"134","THAT popping out tote.....love the colour....and would be able to fit everything I need into it<U+2764>"
"135","THAT please.  Couldn't possibly fit my essentials into 'this' ;-)"
"136","that, love big bags and would fit everything I would need when out with my twin girls x"
"137","That! Gorgeous bag and definitely need it for everything I need to carry around!"
"138","I need the big bag to carry my oasis new clothes I would like to buy . I am sure my new yoga oasis kit would fit"
"139","Definitely THAT tote, would fit all my mummy bits in and still be stylish x"
"140","THAT popping out tote <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #winit  keeping everything crossed <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"141","Got to be THAT it's lovely grey works with so many outfits and would look effortlessly chic with any outfit <ed><U+00A0><U+00BD><ed><U+00B2><U+00BC> xx"
"142","THAT! Love the colour and size and everything about the bag!!! Xx"
"143","Definitely THAT. Perfect size for everyday use and a lovely colour."
"144","Wow this is the first time I found it so hard as I love bags! I think I would say #THAT #WIN"
"145","That! <ed><U+00A0><U+00BD><ed><U+00B1><U+009C> Grey goes with everything plus it would look gorgeous with my oasis grey Sophia princess coat! <ed><U+00A0><U+00BD><ed><U+00B2><U+0093>"
"146","<U+2764><U+FE0F> that bag. Perfect for work, shopping with the kids. Sharnie Futcher"
"147","THAT 

I need a bigger bag as two kids means lots of extra stuff to carry"
"148","that  xxx fantastic prize would be a joy to win - many many thanks for the opportunity xxx"
"149","THAT as perfect size and colour to match everything.
Liked and shared x"
"150","Got to be THAT! Loving the grey tote (plus the shoes in the background!)"
"151","This would be perfect for my sisters wedding #winit"
"152","THIS xx it's stunning and everyone needs a but of sparkle everyday <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"153","That! It would replace my very battered satchel and would definitely fit all my stuff in!"
"154","THAT would make a perfect work bag! Love the colour <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"155","THAT! I could fill it with all of my baby stuff and still look stylish"
"156","Definitely that! I love a big bag I can fit my whole life and makeup bag contents in! #WINIT <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BE><U+0089>"
"157","I prefer the tote, I'm alway using this style  of bag."
"158","THAT Tote <ed><U+00A0><U+00BD><ed><U+00B1><U+009C> is gorgeous and my favourite colour. Thanks for the chance to win. Fingers crossed <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"159","THAT popping out tote please <U+2764> love a bag I can fit everything in <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> x"
"160","THAT Tote I chuck everything except the kitchen sink in my Bags <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"161","My gorgeous wife would love the tote so in that case it gets my vote. Joan Williamson"
"162","That please liked and shared fingers and toes crossed thanks for the chance xx"
"163","4 kids so it would have to be THAT, the bigger the bag the better <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"164","THAT please.  Looks big enough to hold all my work stuff in xxx"
"165","THAT is beautiful! Looking for a new bag and it is perfect for everyday-love it <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"166","THAT - Love this bag so fingers crossed great giveaway thank you Oasis Fashion liked & Shared :)"
"167","This please a touch of class
 LIKES AND SHARES 
LOVING YOUR PRIZE......<ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>"
"168","THAT YES PLEASE ... Liked and share would love to win ty foe chance"
"169","Oooooh, THIS going out clutch! Would give me a big excuse to go out to show it off! <ed><U+00A0><U+00BD><ed><U+00B1><U+009B>"
"170","I would love THAT popping out tote. Could do with a nice bag for work! Thanks for the chance <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"171","THAT!  Im a mum of 3 so i love ""bigger"" bags to carry all my kids ""stuff"" around in :)"
"172","That!!! Alway need a Big bag to put everything in!"
"173","That I would love to win a lovely bag  for a wedding that is coming up good luck everyone x"
"174","THAT popping out tote please! I need a handbag that is large if not bottomless! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"175","Would love to surprise my wife with ""THAT"" 
Happily liked and shared <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"176","THAT please.  Looks like my girlfriend could fit her kitchen sink in it ;-)"
"177","That. I just started a new job and a new tote to take to work would be the bees knees <ed><U+00A0><U+00BD><ed><U+00B0><U+009D>"
"178","THAT Tote <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
Can never have Too much room for all our Lady crap <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>"
"179","That tote!! I love a big bag to carry all the stuff 3 kids give me lol xxx"
"180","THAT popping out tote bag is gorgeous. Good for going to work, good for shopping x"
"181","Both look amazing but I think I would prefer that perfect for when I go out on day trips"
"182","That would be fantastic thankyou for the chance x <ed><U+00A0><U+00BD><ed><U+00B2><U+0096> 
Rebecca Rose Mason"
"183","THAT please perfect mummy bag get everything into it liked and also shared :)"
"184","That!
My bag is falling to pieces and this is lush ! <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"185","I love THAT popping out tote....perfect size for me as I'm always take so much out with me <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"186","Oooohooh THAT please. I've been after a new bag and this is exactly what I've been looking for and I love the colour too <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"187","Love that please..l am so big into..big bags and its fab. <3"
"188","That! I could fit nappies and wipes I. It and look stylish <ed><U+00A0><U+00BD><ed><U+00B8><U+0080>"
"189","THIS - Perfect for a night on the tiles with the girls!<U+2665>"
"190","That!!<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
<U+202A>What a fabulous prize<U+2B50><U+FE0F><U+202C><ed><U+00A0><U+00BD><ed><U+00B2><U+009D>
<U+202A>I would thrilled to be your winner<U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><U+202C>
<U+202A>Like and shared<U+2705><U+202C><ed><U+00A0><U+00BD><ed><U+00B2><U+0099>
<U+202A>Thanks for the chance<U+2B50><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"191","THAT! Being a mum my handbag needs to be the size of a suitcase to carry all the essentials ha"
"192","THAT popping out tote - fab prize and just love that colour x"
"193","THAT popping out, much more practical with children . Wouldn't be able to fit many nappies and wet wipes in the other <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"194","That 
Just the right size perfect colour love  it liked shared thanks for the chance xx #Winit #oasis"
"195","Has to be...THAT . As i carry way too much crap aeound with me lol. Fingers crossed x"
"196","That has my name on it,so need a respectable bag for all my junk !!!"
"197","That. Fantastic Prize Giveaway. Thank you so much for the chance to win!
Happily Liked & Shared"
"198","THAT. Lots.of room for everything I need. Julie Barrett Alan Barrett"
"199","That <U+2661><U+2661><U+2661><U+2661><U+2661><U+2661>
2 children plus my own stuff I need a big bag X
Gorgeous giveaway <U+2661><U+2661>
L/S thanks for the chance x"
"200","that tote is fabulous plenty of room for the kids extras"
"201","They are both gorgeous but I'm going to have to go with #THAT 
Gorgeous handbag <3"
"202","THAT  Looks good and very easy to take any where..veru huge n looking stylish.
Liked n shared Hope to win with you #OasisFashion"
"203","That deffo tote fit all my bits in. Gorgeous giveaway! liking and sharing <3 xxx"
"204","That! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>Would love to be your lucky winner! <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9> Thanks for the fab competition!"
"205","this please would be perfect for those nights out liked and shared"
"206","This lovely clutch bag perfect for going out in a evening Amanda Rockeford"
"207","THAT tote is gorgeous, it looks stunning in that neutral colour"
